Date,Time,Temperature,Voltage
06-05-2019,08:00,307.04,410.8
06-05-2019,08:15,307.01,415.85
06-05-2019,08:30,306.99,411.88
06-05-2019,08:45,306.92,410.57
06-05-2019,09:00,306.8,413.91
06-05-2019,09:15,306.69,412.46
06-05-2019,09:30,306.58,420.35
06-05-2019,09:45,306.44,409.06
06-05-2019,10:00,306.27,416.62
06-05-2019,10:15,306.1,409.5
06-05-2019,10:30,305.93,409.86
06-05-2019,10:45,305.72,414.94
06-05-2019,11:00,305.48,412.45
06-05-2019,11:15,305.23,416.24
06-05-2019,11:30,304.98,414.47
06-05-2019,11:45,304.7,415.82
06-05-2019,12:00,304.38,420.63
06-05-2019,12:15,304.07,409.4
06-05-2019,12:30,303.75,414.7
06-05-2019,12:45,303.43,414.47
06-05-2019,13:00,303.12,419.61
06-05-2019,13:15,302.81,414.31
06-05-2019,13:30,302.5,409.69
06-05-2019,13:45,302.25,414.89
06-05-2019,14:00,302.07,412.73
06-05-2019,14:15,301.89,412.76
06-05-2019,14:30,301.71,414.43
06-05-2019,14:45,301.57,405.84
06-05-2019,15:00,301.47,411.54
06-05-2019,15:15,301.37,410.47
06-05-2019,15:30,301.28,412.93
06-05-2019,15:45,301.21,411.63
06-05-2019,16:00,301.16,410.26
06-05-2019,16:15,301.11,409.33
06-05-2019,16:30,301.06,412.09
06-05-2019,16:45,301.02,412.82
06-05-2019,17:00,300.99,409.4
06-05-2019,17:15,300.95,417.62
06-05-2019,17:30,300.92,412.69
06-05-2019,17:45,300.88,414
06-05-2019,18:00,300.85,414.97
06-05-2019,18:15,300.82,412.2
06-05-2019,18:30,300.79,412.38
06-05-2019,18:45,300.75,408.31
06-05-2019,19:00,300.72,409.82
