Date/Time,volts,amps,watts,volts.1,none,celsius,kilowatt-hours,watts.1,hertz,kilowatt-hours.1,watts.2,volts.2,volts.3,volts.4,volts.5,date/time,new_date/time
2025-01-19 12:00,420.918782552083,50.774398803711,37933.185546875,552.529215494792,0.0,60.70299021403,3.071999999986,36958.95703125,50.076377868652,3.071999999986,36958.95703125,420.918782552083,420.045928955078,420.848541259766,421.861877441406,2025-01-19 12:00:00,19/01/2025 12:00 PM
2025-01-19 12:05,420.47065226237,50.240947723389,37472.6806640625,552.592549641927,0.0,61.409461975098,3.072000000015,36564.84765625,49.982707977295,3.072000000015,36564.84765625,420.47065226237,419.393859863281,420.821258544922,421.196838378906,2025-01-19 12:05:00,19/01/2025 12:05 PM
2025-01-19 12:10,421.430643717448,49.393280029297,36935.5068359375,553.380126953125,0.0,61.380948384603,3.008000000002,35962.38671875,50.020324707031,3.008000000002,35962.38671875,421.430643717448,418.90576171875,423.445587158203,421.940582275391,2025-01-19 12:10:00,19/01/2025 12:10 PM
2025-01-19 12:15,421.679982503255,50.45080947876,37748.271484375,553.643534342448,0.0,61.772171020508,3.071999999986,36802.98828125,50.033561706543,3.071999999986,36802.98828125,421.679982503255,419.046752929688,422.879638671875,423.113555908203,2025-01-19 12:15:00,19/01/2025 12:15 PM
2025-01-19 12:20,421.091573079427,50.16284942627,37465.666015625,558.726216634114,0.0,61.813718159993,3.04800000001,36572.17578125,50.017063140869,3.04800000001,36572.17578125,421.091573079427,419.260833740234,422.023956298828,421.989929199219,2025-01-19 12:20:00,19/01/2025 12:20 PM
2025-01-19 12:25,420.896280924479,50.068824768066,37382.71484375,556.936014811198,0.0,61.898783365885,3.040000000008,36453.75,49.99048614502,3.040000000008,36453.75,420.896280924479,419.526763916016,421.4287109375,421.733367919922,2025-01-19 12:25:00,19/01/2025 12:25 PM
2025-01-19 12:30,420.282073974609,49.833854675293,37176.5859375,557.557759602864,0.0,61.833419799805,3.015999999974,36213.44921875,50.04647064209,3.015999999974,36213.44921875,420.282073974609,418.428100585938,420.820098876953,421.598022460938,2025-01-19 12:30:00,19/01/2025 12:30 PM
2025-01-19 12:35,419.526499430338,48.961742401123,36390.2060546875,555.971272786458,0.0,61.736419677734,3.008000000002,35540.53125,50.040977478027,3.008000000002,35540.53125,419.526499430338,418.640167236328,419.832214355469,420.107116699219,2025-01-19 12:35:00,19/01/2025 12:35 PM
2025-01-19 12:40,415.266906738281,47.926624298096,35244.54296875,552.5068359375,0.0,55.434660593669,1.400000000023,34419.0,49.907321929932,1.400000000023,34419.0,415.266906738281,414.027099609375,416.756500244141,415.017120361328,2025-01-19 12:40:00,19/01/2025 12:40 PM
2025-01-19 12:45,414.465484619141,48.537746429443,35615.6748046875,552.470072428385,0.0,58.033561706543,2.895999999979,34746.60546875,49.946292877197,2.895999999979,34746.60546875,414.465484619141,413.453582763672,415.457427978516,414.485443115234,2025-01-19 12:45:00,19/01/2025 12:45 PM
