Date/Time,avg_3phase_voltage,avg_current,average_dc_power,average_dc_voltage,none,average_device_temperature,kilowatt-hours,watts,hertz,kilowatt-hours,watts,volts,volts,volts,volts
2025-01-14 12:55,85.407005310059,62529.2661132813,416.393575032552,605.769368489583,0,60.570995330811,4.991999999969,61255.171875,50.092544555664,4.991999999969,61255.171875,416.393575032552,415.873657226562,417.327056884766,415.980010986328
2025-01-14 13:00,90.426292419434,66007.109375,415.125640869141,604.780609130859,0,60.908362070719,4.992000000027,64685.046875,50.126770019531,4.992000000027,64685.046875,415.125640869141,414.523284912109,415.68359375,415.170043945312
2025-01-14 13:05,90.94344329834,65700.3461914063,410.948598225911,598.429555257161,0,61.529679616292,4.992000000027,64377.828125,50.166999816895,4.992000000027,64377.828125,410.948598225911,410.702667236328,411.334197998047,410.808929443359
2025-01-14 13:10,86.358345031738,62328.4750976563,411.071431477865,598.283996582031,0,61.218621571859,6.015999999945,61120.390625,50.12670135498,6.015999999945,61120.390625,411.071431477865,410.445037841797,412.571594238281,410.197662353516
2025-01-14 13:15,93.299575805664,67766.0576171875,413.211700439453,598.706013997396,0,61.738244374593,4.992000000027,66387.2109375,50.048377990723,4.992000000027,66387.2109375,413.211700439453,411.356658935547,414.557067871094,413.721374511719
2025-01-14 13:20,85.855445861816,62172.2846679688,412.09233601888,597.289703369141,0,61.377374013265,4.992000000027,60934.578125,50.082939147949,4.992000000027,60934.578125,412.09233601888,410.913543701172,413.126129150391,412.237335205078
2025-01-14 13:25,90.036895751953,65149.0073242188,411.709737141927,591.844329833984,0,61.345848083496,6.015999999945,63865.4765625,50.032852172852,6.015999999945,63865.4765625,411.709737141927,411.523956298828,412.008941650391,411.596313476562
2025-01-14 13:30,86.456680297852,62647.0014648438,412.560139973958,596.124481201172,0,61.114861806234,4.992000000027,61403.68359375,50.029800415039,4.992000000027,61403.68359375,412.560139973958,412.057922363281,413.271209716797,412.351287841797
2025-01-14 13:35,86.797431945801,62816.0532226563,411.697397867838,595.02880859375,0,61.176348368327,4.992000000027,61562.5546875,49.990158081055,4.992000000027,61562.5546875,411.697397867838,410.715698242188,412.501525878906,411.874969482422
2025-01-14 13:40,87.204010009766,63048.4575195313,411.276560465495,592.246490478516,0,60.976848602295,4.991999999969,61798.24609375,49.99303817749,4.991999999969,61798.24609375,411.276560465495,410.863067626953,412.564331054688,410.402282714844
